dataset,maximum_candidate_cutoff,seed,method,retrieval_latency_s_per_query,reranker_latency_s_per_query,end_to_end_latency_s_per_query,latency_boundary
arguana,50,1,fp32_reranker_cpu,0.06331078379967948,0.8183759374879446,0.881686721287624,retrieval_plus_reranker
arguana,50,1,dynamic_int8_reranker_cpu,0.06331078379967948,0.6126712861719424,0.6759820699716219,retrieval_plus_reranker
arguana,50,2,bm25_no_rerank,0.06932331044961756,,0.06932331044961756,retrieval_only
arguana,50,2,fp32_reranker_cpu,0.06932331044961756,0.8134095030019671,0.8827328134515847,retrieval_plus_reranker
arguana,50,2,dynamic_int8_reranker_cpu,0.06932331044961756,0.6119069971140416,0.6812303075636592,retrieval_plus_reranker
arguana,50,3,bm25_no_rerank,0.0637640986002225,,0.0637640986002225,retrieval_only
arguana,50,3,fp32_reranker_cpu,0.0637640986002225,0.8108759368140309,0.8746400354142534,retrieval_plus_reranker
arguana,50,3,dynamic_int8_reranker_cpu,0.0637640986002225,0.609101975690035,0.6728660742902575,retrieval_plus_reranker
arguana,50,4,bm25_no_rerank,0.0682863334401918,,0.0682863334401918,retrieval_only
arguana,50,4,fp32_reranker_cpu,0.0682863334401918,0.8151735246520693,0.883459858092261,retrieval_plus_reranker
arguana,50,4,dynamic_int8_reranker_cpu,0.0682863334401918,0.6142428631879884,0.6825291966281801,retrieval_plus_reranker
arguana,50,5,bm25_no_rerank,0.06673938729996735,,0.06673938729996735,retrieval_only
arguana,50,5,fp32_reranker_cpu,0.06673938729996735,0.8155301416379953,0.8822695289379626,retrieval_plus_reranker
arguana,50,5,dynamic_int8_reranker_cpu,0.06673938729996735,0.6125695590558171,0.6793089463557844,retrieval_plus_reranker
arguana,100,1,bm25_no_rerank,0.06411169414030155,,0.06411169414030155,retrieval_only
arguana,100,1,fp32_reranker_cpu,0.06411169414030155,1.6243393324799253,1.6884510266202268,retrieval_plus_reranker
arguana,100,1,dynamic_int8_reranker_cpu,0.06411169414030155,1.2184231767460878,1.2825348708863893,retrieval_plus_reranker
arguana,100,2,bm25_no_rerank,0.06845625047018984,,0.06845625047018984,retrieval_only
