dataset,maximum_candidate_cutoff,seed,method,original_nominal_candidates_per_second,actual_candidate_count,latency_s_per_query,corrected_throughput
nfcorpus,50,1,dynamic_int8_reranker_cpu,103.98340685027097,35.05,0.48084594950804604,72.89236820203993
nfcorpus,50,2,bm25_no_rerank,77798.11784841926,36.27,0.0006426890699003706,56434.75468724334
nfcorpus,50,2,fp32_reranker_cpu,80.27385284798743,36.27,0.6228678234079998,58.23065285593009
nfcorpus,50,2,dynamic_int8_reranker_cpu,101.75827543367406,36.27,0.49136052853598083,73.81545299958717
nfcorpus,50,3,bm25_no_rerank,80589.0778129364,34.24,0.0006204314698334202,55187.40048629885
nfcorpus,50,3,fp32_reranker_cpu,86.3591805749804,34.24,0.5789772397919878,59.13876685774658
nfcorpus,50,3,dynamic_int8_reranker_cpu,106.64693057045251,34.24,0.4688367469419973,73.03181805464588
nfcorpus,50,4,bm25_no_rerank,88822.16410265792,36.22,0.0005629225599841448,64342.77567596539
nfcorpus,50,4,fp32_reranker_cpu,81.37163056461456,36.22,0.6144647668120233,58.94560918100679
nfcorpus,50,4,dynamic_int8_reranker_cpu,102.8561396510157,36.22,0.4861158523900158,74.50898756319577
nfcorpus,50,5,bm25_no_rerank,74575.18394890806,35.16,0.0006704643200646387,52441.26935287214
nfcorpus,50,5,fp32_reranker_cpu,84.47049369621993,35.16,0.5919226680480205,59.39965116718185
nfcorpus,50,5,dynamic_int8_reranker_cpu,107.08379888561032,35.16,0.4669240400540075,75.30132737636117
nfcorpus,100,1,bm25_no_rerank,164608.69573830315,65.76,0.0006075013203371782,108246.67831750815
nfcorpus,100,1,fp32_reranker_cpu,90.91898284896592,65.76,1.0998803205499934,59.78832312148
nfcorpus,100,1,dynamic_int8_reranker_cpu,114.87414584249031,65.76,0.8705178982319921,75.54123830602164
nfcorpus,100,2,bm25_no_rerank,156275.51192441533,68.63,0.0006398955202166689,107251.88383372624
nfcorpus,100,2,fp32_reranker_cpu,88.49656528603981,68.63,1.129987358003993,60.735192755809116
nfcorpus,100,2,dynamic_int8_reranker_cpu,110.26301813256819,68.63,0.9069223906039915,75.67350934438154
nfcorpus,100,3,bm25_no_rerank,157941.18736284226,62.75,0.0006331470699296915,99108.09507018352
nfcorpus,100,3,fp32_reranker_cpu,95.74669363341548,62.75,1.0444224881839692,60.08105025496821
nfcorpus,100,3,dynamic_int8_reranker_cpu,120.48237321052997,62.75,0.8299969309640073,75.60268918960756
nfcorpus,100,4,bm25_no_rerank,180304.21005125094,67.77,0.0005546182197940652,122192.16315173276
nfcorpus,100,4,fp32_reranker_cpu,88.92829289279126,67.77,1.1245015140519607,60.26670409344464
nfcorpus,100,4,dynamic_int8_reranker_cpu,110.93334443308028,67.77,0.9014422174959691,75.1795275222985
